특허명,출원일자,등록일자,출원국
능동 구동형 유기 이엘 다이오드 디스플레이 패널 회로 구조,2002-12-31,2005-11-29,미국
"효율적인 공간영상의 저장, 검색을 지원하는 공간영상정보 시스템",2003-07-03,2007-07-03,미국
부엽레벨 억압을 위한 마이크로스트립 패치 배열 안테나,2003-07-11,2005-08-02,미국
템플릿 형태의 전기영동 디스플레이 및 그 제조방법,2003-10-14,2007-11-06,미국
광필터를 사용한 클럭 추출방법 및 장치,2003-05-23,2007-01-09,미국
임시,2009-02-10,2011-12-06,미국
광통신용 광원의 입력 전류 조절에 따른 출력 파장 천이에 대해서 자동 파장 보 정 방법,2003-06-03,2005-01-18,미국
이더넷 PON에 있어서 상향 데이터 전송 제어방법 및 그 장치,2003-11-03,2008-10-28,미국
유로형 다중 건기 화학시스템 및 그 제조방법,2002-12-30,2005-11-29,미국
감광막 패턴 형성 방법,2003-11-12,2005-10-04,미국
파장 의존성을 조절할 수 있는 가변 광감쇠기,2003-04-14,2005-09-20,미국
광섬유 격자 거울을 이용한 주파수 가변광 발전기,2003-03-03,2005-07-12,미국
반도체 광소자와 그 제작 방법,2007-01-25,2008-07-01,미국
"인터넷 차별 서비스 망에서 대역폭 브로커, 동적 대역 관리 및 측정 기반 수락 제어를 통합 처리하는 연결 수락 제어 방법",2003-06-26,2008-04-22,미국
초고주파 전력 증폭기,2003-12-11,2005-09-06,미국
유전체 덮개를 이용한 마이크로스트립 패치 안테나 및 이를 배열한 배열 안테나,2003-08-08,2005-09-20,미국
마이크로파용 YIG 자성체 세라믹 조성물 및 그 제조방법,2003-11-18,2005-05-31,미국
주편광상태 제어와 군 지연차 제어를 분리하여 처리하는 편광모드분산 보상기 및 보상방법,2003-10-30,2006-05-09,미국
원자층 증착법에서의 박막의 증착속도 및 박막 조밀도의 조절방법,2003-08-22,2004-05-04,미국
직교변조 수신기,2003-12-12,2007-05-01,미국
"무선 통신 시스템에서의 오류 제어 방법, 매체 접속 제어 프레임 설계 방법 및 단말기 등록 방법과 기록 매체",2003-10-27,2008-06-24,미국
"무선 통신 시스템에서의 오류 제어 방법, 매체 접속 제어 프레임 설계 방법 및 단말기 등록 방법과 기록 매체",2008-08-04,2011-07-05,미국
"무선 통신 시스템에서의 오류 제어 방법, 매체 접속 제어 프레임 설계 방법 및 단말기 등록 방법과 기록 매체",2019-01-02,2021-07-27,미국
다중전송속도를 갖는 파장분할다중 광전송 시스템의 채널 할당방법,2003-09-29,2007-12-25,미국
"디지털 케이블 방송 시스템의 제한 수신 장치, 이를 이용한 수신 시스템 및 수신 방법",2003-05-16,2008-06-03,미국
이더넷 PON의 매체접근제어 계층에서의 이더넷 데이터 처리방법 및 장치,2003-08-22,2007-09-25,미국
스마트 안테나 수신 시스템에서의 적응 빔 형성을 위한 정규화 장치,2003-11-05,2005-03-01,미국
동기식 이동 단말을 외부 참조 클록으로 사용하는 네트워크 동기화 시스템 및 방법,2003-07-22,2008-07-01,미국
게이트 판을 가진 액티브-매트릭스 전계 방출 디스플레이,2003-12-23,2007-12-18,미국
METHOD OF WAVELENGTH TUNING IN A SEMICONDUCTOR TUNABLE LASER,2003-12-22,2006-06-20,미국
증폭기 및 증폭기에서의 비선형성 제거 방법,2003-07-11,2005-09-06,미국
"E-PON에서의 데이터 전송 시스템 및 방법, 그 프로그램이 저장된 기록매체",2003-11-26,2012-08-01,독일
직교 주파수 분할 다중화 시스템에서의 주파수 도약 방법,2003-11-21,2008-10-14,미국
다중 안테나 무선 통신 시스템을 위한 적응 안테나 송신 방법 및 그 장치,2010-09-02,2012-03-20,미국
"디씨 오프셋 보상 기능이 있는 직교 주파수 분할 다중 시스템의 자동 이득 조절 장치 및 그 방법과, 그 방법을 포함하는 프로그램이 저장된 기록매체",2003-10-15,2007-11-27,미국
저전력/고집적 소스 드라이버 및 그를 구비한 전류형 능동 구동 유기 EL 장치,2003-12-17,2008-06-24,미국
추출 격자 브래그 반사기와 결합된 추출 격자 분포 궤환 레이저 다이오드의 구조,2003-12-29,2006-10-31,미국
"고출력,고에너지 밀도의 비수계 2차전지용 고분자 전해질 조성물 및 그 제조 방법",2003-12-26,2009-01-23,일본
버스트모드 광수신 장치,2003-10-28,2009-05-26,미국
초고주파 송수신 장치,2019-07-03,2021-06-29,미국
"(4,5,9,10-테트라히드로-피렌-2-일)-카바믹산 4-(2-메틸셜파닐-알킬 )-3,5-디니트로-벤질 에스터 화합물과 그 화합물 제조방법 그리고 이를 이용한 분자소자",2006-02-23,2007-01-30,미국
MODULATION FREQUANCY TUNABLE OPTICAL OSCILLATOR,2003-12-31,2005-12-13,미국
부반송파다중접속 방식을 이용한 광통신 장치 및 그 방법,2004-04-22,2009-04-07,미국
반도체 광소자의 제작 방법,2004-03-16,2006-01-24,미국
디지털 멀티미디어 방송 시스템 및 그 방법,2003-12-30,2013-06-18,캐나다
위성통신용 안테나 시스템 및 이를 이용한 위성신호 추적방법,2003-12-22,2006-01-24,미국
라만 증폭기 및 라만 펌핑방법,2004-04-28,2007-06-12,미국
자기유지 중앙지지대를 갖는  미세 전자기계적 스위치 및 그의 제조 방법,2003-12-26,2006-02-16,대한민국
자기유지 중앙지지대 미세전자기계적 스위치 및 그의 제조 방법,2004-03-16,2007-01-30,미국
주파수 분할 다중화를 사용하는 무선통신 시스템에서의 적응 송수신 장치 및 그 방법,2004-05-19,2009-12-01,미국
직교복조수신시스템에서의 동위상채널과 직교채널 간 이득불일치 보상 및 자동이득 조절장치 및 그 방법,2004-05-27,2007-07-24,미국
OFDMA 방식을 사용하는 무선 통신 시스템의 하향 링크 프레임 구성 방법,2004-07-09,2006-12-07,대한민국
디지털 케이블방송 시스템에서 공개키 암호 알고리즘을 이용한 서비스 신청 및 암호화 키 분배 방법,2004-06-14,2009-08-04,미국
