특허명,출원일자,등록일자,출원국
GOI 기판 위의 칩간 배선,2010-07-30,2012-11-06,미국
D-mode HEMT 소자의 단일 DC 바이어스 공급회로,2010-08-12,2012-10-23,미국
인트라 부호화/복호화 방법 및 장치,2013-09-12,2015-06-02,대한민국
셀룰라 시스템에서 무선링크로 인접기지국간 셀 정보를  교환하기 위한 중계단말기,2009-09-09,2015-08-19,대한민국
에너지 및 전력관리 집적회로 장치,2010-02-19,2013-02-19,미국
"인프라 정보 수집 장치 및 그 방법, 이를 이용한 측위 방법 및 그 시스템",2010-07-26,2013-10-01,미국
광 소자 및 그 제조 방법,2010-02-11,2014-08-12,미국
네트워크 기반 이동성을 지원하는 모바일 멀티캐스트 시스템 및 그 방법,2012-06-21,2014-09-23,미국
휴대형 배뇨 분석용 디지털 리더기,2012-02-14,2014-08-05,미국
CTL셀 및 광 링크를 이용한 ERP/EIRP 측정 시스템,2010-06-11,2013-02-05,미국
휴대형 배뇨 분석용 디지털 리더기,2012-02-15,2015-03-31,미국
소스-채널 결합 부호화 방법 및 이를 적용한 위성 방송 시스템,2009-12-01,2013-09-11,대한민국
다중안테나를 사용하는 무선 공간채널 측정장치의 송수신부 경로특성 보정방법,2010-12-20,2013-07-02,미국
송수신 전송 속도와 송수신 장치간의 align 상태를 직관적으로 제공하는 가시광 무선 통신 방법 및 장치,2012-09-11,2014-12-02,미국
개방형 광가입자망,2012-01-31,2014-09-02,미국
다파장 송신 및 수신 광소자,2010-07-13,2013-09-24,미국
산화물 반도체 박막 트랜지스터와 유기 강유전체 메모리 박막 트랜지스터로 구성된 투명 비휘발성 메모리 셀의 구조 및 그 제조 방법,2013-09-10,2014-05-06,미국
편광 다중 광 ＯＦＤＭ 송신기 및 수신기,2009-10-23,2013-01-22,대한민국
편광 다중 광 OFDM 송신기 및 수신기,2010-05-03,2014-04-08,미국
"프리셋을 이용한 객체기반 오디오 시스템, 객체기반 오디오 제공 방법 및 객체기반 오디오 재생 방법",2010-06-09,2014-12-09,대한민국
바이어스를 변조하는 고효율 전력 증폭기의 선형화 방법 및 그 장치,2010-09-16,2011-09-13,미국
파이프라인 아날로그-디지털 변환기,2010-05-11,2012-04-24,미국
셀룰라 이동통신 시스템에서 협력 다중 점 협력 전송,2011-09-28,2015-10-13,미국
통신 시스템의 데이터 전송 방법 및 이를 수행하는 릴레이 장치,2010-06-17,2016-06-16,대한민국
전기-광학 변조 소자,2010-07-12,2014-10-15,대한민국
멀티홉 네트워크에서의 멀티캐스트 제어 장치 및 방법,2010-01-06,2012-06-26,미국
질감에너지분석 및 신체후보군 마스크를 이용한 신체특정영역 탐지 방법,2010-05-24,2013-12-31,미국
"다중 모드 무선 통신 시스템에서 패킷 모드 자동 검출 방법, 상기 패킷 모드 자동 검출을 위한 시그널 필드 전송방법 및 상기 패킷 모드에 기반한 이득 제어 방법",2017-03-24,2017-11-22,대한민국
"다중 모드 무선 통신 시스템에서 패킷 모드 자동 검출 방법, 상기 패킷 모드 자동 검출을 위한 시그널 필드 전송방법 및 상기 패킷 모드에 기반한 이득 제어 방법",2020-03-03,2020-06-05,대한민국
다중 모드 무선 전송 시스템의 패킷 종류 자동 검출을 위한 전송 방법 및 제어 장치와 그 검출 방법 (1),2013-10-02,2015-04-07,미국
다중 모드 무선 전송 시스템의 패킷 종류 자동 검출을 위한 전송 방법 및 제어 장치와 그 검출 방법 (1),2016-10-07,2018-08-21,미국
무선통신 시스템에서 시스템정보의 갱신방법,2012-02-27,2014-09-16,미국
상 분리 현상을 이용한 유기 발광 다이오드 및 그 제조 방법,2012-02-27,2013-04-02,미국
"차량의 차선 유지 및 이탈 방지 장치, 및 그 방법",2010-09-22,2013-07-30,미국
공간 재활용을 위한 스케줄링 방법 및 장치,2018-11-01,2019-03-11,대한민국
방향성 전송을 고려한 전송 스케줄링 방식,2013-09-03,2016-02-02,미국
무선 네트워크에서 단말의 신호 전송시점을 조정하는 방법 및 장치,2012-03-19,2019-01-09,독일
디지털방송기반 스테레오스코픽 비디오 서비스 제공 방법 및 그 장치,2010-07-07,2014-07-11,일본
공유 주파수 대역에서 효율적인 스펙트럼 감지를 위한 신호 검출기 및 그 방법,2010-07-20,2013-08-06,미국
다중사용자무선통신시스템에서 데이터의 전송속도 및 신뢰도 향상을 위한 전송 방법 및 장치,2015-04-09,2018-04-17,중국
다중 사용자 무선 통신 시스템에서 데이터의 전송 방법,2010-10-30,2017-07-26,대한민국
다중사용자무선통신시스템에서 데이터의 전송속도 및 신뢰도 향상을 위한 전송 방법 및 장치,2012-04-27,2016-01-26,미국
다중사용자무선통신시스템에서 전송효율 향상을 위한 제어 및 훈련심볼 전송 방법 및 장치,2010-10-30,2020-05-06,이탈리아
다중사용자무선통신시스템에서 전송효율 향상을 위한 제어 및 훈련심볼 전송 방법 및 장치,2016-06-17,2018-03-16,일본
다중 사용자 무선 통신 시스템에서 제어 및 훈련 심볼 전송 방법,2010-10-30,2017-10-19,대한민국
다중 사용자 무선 통신 시스템에서 제어 및 훈련 심볼 전송 방법,2018-10-18,2019-09-24,대한민국
다중 사용자 무선 통신 시스템에서 제어 및 훈련 심볼 전송 방법,2020-09-10,2021-07-05,대한민국
다중사용자무선통신시스템에서 전송효율 향상을 위한 제어 및 훈련심볼 전송 방법 및 장치,2010-10-30,2020-05-06,폴란드
다중사용자무선통신시스템에서 전송효율 향상을 위한 제어 및 훈련심볼 전송 방법 및 장치,2014-11-26,2021-05-11,미국
양자 암호키 분배를 위한 광위상 변조 방법 및 장치,2010-10-06,2013-07-02,미국
반-선형 센서 네트워크를 위한 저전력 매체 접근 제어 방법,2010-05-04,2013-04-30,미국
통신시스템을 위한 송신전력제어,2011-10-28,2015-12-15,미국
네트워크를 이용한 차량 제어 방법 및 시스템,2009-11-27,2012-06-05,대한민국
도로 인프라 장치 및 차량 장치 연동법형 차량 자동 유도 시스템 및 그 방법,2010-06-21,2013-05-28,미국
"기지국의 관리 장치, 관리 방법 및 단말",2011-12-15,2014-05-13,미국
적응형 보안 정책 기반의 스케일러블 영상 암호화 방법 및 장치,2010-05-06,2013-09-24,미국
무선 통신 시스템에서 매크로 기지국에 의해 수행되는 주변 기지국 정보 전송 방법 및 장치,2010-07-06,2016-11-07,대한민국
환경가스 센서 및 그의 제조방법,2010-05-26,2012-10-09,미국
단기 전압 스파이크 제거 방법 및 그 장치,2010-10-20,2013-12-03,미국
X2 인터페이스가 없는 펨토셀 환경에서의 간섭제어 기술,2010-08-20,2013-12-10,미국
근육 및 외형 곡면 기반 개체 표준 메쉬 모델의 파라메트릭 제어를 통한 자동 리깅 및 형상 전이 방법,2010-12-16,2013-12-17,미국
"Ｃａｒｒｉｅｒ Ａｇｇｒｅｇａｔｉｏｎ을 이용하는 무선 이동통신 시스템에서, 핸드오버 유형 결정 방법 및 서빙 기지국",2010-06-17,2016-12-22,대한민국
컨텐츠 재생 장치의 제어 장치 및 방법,2010-11-11,2014-03-11,미국
멀티채널을 사용하는 무선통신시스템에서 RF 채널 모듈 및 MIMO 송수신기 스위칭 장치 및 방법,2010-12-17,2013-11-19,미국
"고속 무선 통신 시스템을 위한 전력 소비 효율 향상 방법, 전송 방법 및 제어 장치",2010-10-28,2015-02-25,스페인
"고속 무선 통신 시스템을 위한 전력 소비 효율 향상 방법, 전송 방법 및 제어 장치",2016-04-06,2019-03-20,프랑스
"고속 무선 통신 시스템을 위한 전력 소비 효율 향상 방법, 전송 방법 및 제어 장치",2010-10-28,2015-02-25,이탈리아
"고속 무선 통신 시스템을 위한 전력 소비 효율 향상 방법, 전송 방법 및 제어 장치",2016-04-06,2019-03-20,NETHERLAND
무선 통신 시스템에서 파워 세이빙 방법,2012-04-27,2013-04-02,미국
가변 대역 위상 동기 회로를 포함하는 위상 변조 장치 및 방법,2010-07-09,2013-01-22,미국
고속 이동성 및 고속 데이터 전송을 지원할 수 있는 무선전송장치 및 상기 무선전송장치에서의 모드 제어방법,2010-10-26,2015-10-06,미국
무선 통신 시스템을 위한 송신 출력 방법 및 제어 장치,2015-09-29,2020-12-29,미국
무선랜의 전송 기회 보호를 위한 전송 방법 및 제어 장치,2010-10-28,2014-01-14,미국
기지국 무선자원 재구성 방법,2010-10-19,2014-10-07,미국
불요 전자파 및 노이즈 억제 구조,2010-12-20,2013-10-15,미국
1차 면허권 시스템이 존재하는 환경에서의 주파수 셋 분류에 기반한 주파수 공유 방법 및 장치,2010-09-23,2014-05-13,미국
반도체 장치 및 그 형성 방법,2010-05-27,2012-10-16,미국
전력을 절감하는 링크그룹 통신장치 및 방법,2010-10-20,2014-09-16,미국
수신채널정보를 이용하는 다중 송수신 노드를 가지는 무선 시스템에서의 간섭 제어 방법,2012-03-23,2015-11-10,미국
MIMO 송수신을 위한 레퍼런스 신호 및 시그널링,2011-09-20,2014-02-28,일본
클러스터드 디에프티 스프레드 오에피디엠 전송에 있어서 상향링크 복조용 레퍼런스 시그널의 생성 및 전송방법,2010-09-17,2015-01-07,대한민국
클러스터드 디에프티 스프레드 오에피디엠 전송에 있어서 레퍼런스 시그널의 생성 및 전송방법,2013-09-19,2015-05-05,미국
"섹터 안테나를 이용한 애드혹 무선 통신 방법, 무선통신망의 복구 방법 및 무선 통신 시스템",2010-10-14,2013-05-28,미국
영상의 부호화/복호화 장치 및 그 방법,2014-11-25,2017-03-21,미국
영상의 부호화/복호화 장치 및 그 방법,2019-10-10,2021-03-30,미국
3차원 도시 모델링 장치 및 방법,2010-12-17,2015-02-24,미국
데이터 통신 시스템,2010-06-18,2014-01-08,대한민국
캐리어 어그리게이션 환경에서 idle-active 상태 천이 장치,2009-12-21,2016-02-18,대한민국
유기전기발광소자 및 그 제조방법,2010-12-21,2013-08-20,미국
인접한 VM 간의 공유 메모리 통신 채널을 응용프로그램 수행 중에 TCP/IP 채널로 전환하는 기법,2010-04-27,2012-07-03,미국
주파수 공유 장치 및 방법,2010-11-03,2014-05-06,미국
재구성 가능한 전하영역 데시메이션 필터를 구비한 고선형 직접변환 수신기,2014-02-18,2016-04-05,미국
연속 근사 아날로그-디지털 변환기,2010-12-16,2012-09-25,미국
다중 주파수 채널을 사용하는 무선랜 통신망에서의 MU-MIMO 방식,2010-10-22,2013-04-16,미국
무선 통신 시스템의 적응적 전원 절약/전원 절약 지원 방법 및 이를 수행하는 장치,2010-12-16,2014-05-06,미국
멀티케리어 전송 방식을 사용하는 통신 시스템의 신호 수신장치 및 신호 수신장치의 간섭 제거 방법,2010-07-29,2012-12-18,미국
패리티 비트 LLR 계산을 통한 MAP 알고리즘 및 반복 복호 방법,2010-11-18,2014-09-05,대한민국
파장 가변 레이저 광원 모듈,2010-12-20,2013-04-23,미국
인덕터,2010-12-14,2011-07-26,미국
로봇 모델 정의를 이용한 로봇 태스크 실행 장치 및 이를 이용한 태스크 실행 방법,2010-12-08,2013-11-19,미국
지향성 안테나를 사용하는 무선 통신 시스템에서의 공간 재활용 기법,2010-07-16,2020-03-04,독일
공간 재활용 기법을 사용하는 네트워크 및 상기 네트워크의 운용방법,2012-01-17,2015-11-03,미국
무선 통신 시스템에서 릴레이 링크 셋업 방법 및 장치,2017-08-28,2018-10-01,대한민국
무선 통신 시스템에서 릴레이 링크 셋업 방법 및 장치,2012-03-28,2015-03-24,미국
무선 통신 시스템에서 릴레이 링크 셋업 방법 및 장치,2020-04-10,2022-07-19,미국
"무선 통신 시스템에서 데이터 프레임 생성 방법 및 장치, 데이터 프레임 송수신 방법 및 장치",2010-08-23,2016-10-27,대한민국
협력 통신 시스템에서 데이터 송수신 방법 및 협력 통신 방법,2012-01-12,2021-09-08,독일
협력 통신 시스템에서 데이터 송수신 방법 및 협력 통신 방법,2012-03-20,2016-07-19,미국
협력 통신 시스템에서 데이터 송수신 방법 및 협력 통신 방법,2018-05-14,2020-05-26,미국
데이터 송수신을 위한 동기 제어 방법 및 데이터 송수신 동기를 위한 스테이션,2012-03-23,2018-11-28,프랑스
데이터 송수신을 위한 동기 제어 방법 및 데이터 송수신 동기를 위한 스테이션,2019-06-04,2020-12-28,대한민국
데이터 송수신을 위한 동기 제어 방법 및 데이터 송수신 동기를 위한 스테이션,2012-05-06,2015-01-06,미국
트래픽 제어 장치 및 방법,2009-12-21,2013-11-01,대한민국
트래픽 제어 장치 및 방법,2010-12-21,2014-04-01,미국
마이크로 어레이 형태의 질화물 발광 소자 및 그 제조 방법,2012-05-16,2015-05-26,미국
다수의 구멍을 가진 마이크로히터를 이용한 MEMS형 반도체식 가스 센서 및 그 제조 방법,2011-07-12,2015-05-04,대한민국
반도체 광 소자 및 그 제조 방법,2011-11-30,2014-08-12,미국
화면내 예측 방향 정보 부호화/복호화 방법 및 그 장치,2016-09-21,2021-08-24,중국
인트라 예측 모드 부호화/복호화 방법 및 컴퓨터로 읽을 수 있는 기록 매체,2018-01-22,2019-01-04,대한민국
화면내 예측 방향 정보 부호화/복호화 방법 및 그 장치,2017-04-03,2017-12-05,미국
화면내 예측 방향 정보 부호화/복호화 방법 및 그 장치,2019-10-25,2021-03-02,미국
LDPC 부호의 수신 성능을 향상시키기 위한 방법 및 장치,2012-03-21,2014-12-09,미국
HTR이용 고효율 정전류 회로,2013-03-18,2014-10-21,미국
우선 관제 대상 선정 장치와 방법 및 대상물 관제 장치,2012-04-19,2015-06-30,미국
레이더 장치,2012-04-12,2015-04-21,미국
영역기반 응용서비스 제공을 위한 장치 및 그 방법,2012-06-29,2015-04-07,미국
스킵 모드를 이용한 영상 복호화 방법 및 이러한 방법을 사용하는 장치,2020-08-20,2021-06-24,대한민국
스킵 모드를 이용한 영상 복호화 방법 및 이러한 방법을 사용하는 장치,2020-01-15,2021-04-27,미국
3차원 음장 재생 방법 및 장치,2012-04-20,2015-05-26,미국
단층합성영상 시스템,2012-06-15,2014-09-30,미국
발광 소자 및 이를 제조하는 방법,2011-07-25,2017-07-11,대한민국
유기전계발광소자를 이용한 투명광원,2015-01-30,2016-05-31,미국
그래핀 메타물질 능동소자,2012-03-27,2014-11-18,미국
빛과 전압 스트레스에 강한 산화물 박막 트랜지스터 및 그의 제조 방법,2011-09-20,2018-04-10,대한민국
광 전달망에서의 직병렬 채널 호환 전송장치 및 그 방법,2012-05-09,2015-04-14,미국
무선랜 시스템에서 데이터 프레임을 전송하는 방법 및 이를 지원하는 장치,2018-02-14,2019-01-28,대한민국
동적 멀티캐스트 및 브로드캐스트 서비스 존 구성 방법 및 그 장치,2012-07-13,2016-08-30,미국
다중 송수신 포인트를 사용하는 무선 통신 시스템,2012-02-10,2018-05-02,대한민국
셀 내 복수의 전송 및 수신 점을 사용하는 무선통신 시스템,2013-08-12,2017-01-31,미국
차량 통신 네트워크의 멀티캐스팅 시스템 및 그 방법,2012-06-12,2014-08-05,미국
적응형 송신 편파 제어를 이용한 공간-편파분할 다중접속 장치 및 방법,2012-06-27,2014-07-08,미국
도메인 분리 기반 안전 실행 환경 제공 방법 및 장치,2011-08-12,2014-12-01,대한민국
구성설정이 가능한 고효율 DC-DC 컨버터 장치,2012-07-03,2015-01-20,미국
유기발광다이오드 및 그의 제조방법,2012-06-12,2014-04-01,미국
메타데이터 연산 충돌 회피 방법 및 이를 수행하는 메타 데이터 관리시스템,2011-08-24,2017-04-27,대한민국
분산 안테나 무선 통신 시스템 및 그 방법,2012-06-01,2018-03-15,대한민국
무선 통신 시스템에서 제어 정보를 전송하는 방법,2013-12-09,2017-06-23,중국
무선 통신 시스템에서 제어 정보를 전송하는 방법,2013-12-17,2019-09-18,폴란드
이동 통신 시스템의 제어 정보 전송 및 수신 방법,2013-12-06,2016-11-15,미국
무선 통신 시스템에서 제어 정보를 전송하는 방법,2017-11-15,2019-10-29,미국
짧은 서명을 제공하는 경량 그룹서명 방법 및 장치,2012-09-06,2015-02-24,미국
가상 데스크탑 서비스를 위한 방법 및 아키텍처,2012-03-29,2015-07-21,미국
전자파흡수장치를 구비한 전자파 잔향실,2012-08-21,2016-03-01,미국
차량 내부 네트워크 및 영상 센서를 이용한 차량 위치 인식 장치 및 그 방법,2012-08-27,2015-12-08,미국
정보처리 시스템에서 운영체제 전환방법,2012-08-23,2015-02-24,미국
촉각 피드백을 제공하기 위한 전자기기용 케이스 및 그 구동 방법,2012-07-03,2015-05-05,미국
저비용 오류 기반 프로그램 테스트 장치 및 그 방법,2011-08-25,2019-01-15,대한민국
터치 스크린 패널,2012-07-11,2015-08-01,대만
데이터 정합 방법 및 이를 위한 시스템,2012-07-25,2014-04-01,미국
소형 보정 패턴을 이용한 카메라 네트웍 보정 방법 및 장치,2012-04-13,2018-04-02,대한민국
이슈 템플릿 추출 기반의 웹 동향 분석 방법 및 장치,2011-10-07,2015-04-03,대한민국
"환경 정보 기반 공간 인식 방법 및 장치, 공간 인식 시스템",2012-08-29,2015-03-24,미국
유동인구 정보 분석 장치 및 그 방법,2011-03-08,2013-10-08,미국
고속 플립플롭 회로 및 그 구성 방법,2010-10-28,2012-10-23,미국
반도체 소자 및 그 제조 방법,2011-04-14,2015-06-09,미국
"부호화 방법 및 장치, 그리고 복호화 방법 및 장치",2014-11-18,2018-01-02,중국
무선 통신 시스템에서 다중 사용자에게 데이터 프레임을 전송하는 방법,2011-03-11,2017-10-27,대한민국
무선 통신 시스템에서의 패킷 송/수신 방법 및 장치,2011-02-11,2017-08-01,대한민국
감각 효과 메타데이터의 바이너리 표현을 이용한 감각 효과 메타데이터 구현 장치 및 방법,2011-04-01,2014-03-18,미국
통신시스템에서 전력소모를 감소시키기 위한 효율적인 장치 및 방법,2011-04-07,2014-03-25,미국
적응적 필터를 이용한 인트라 예측 수행 방법 및 장치,2018-09-13,2021-01-13,키프로스
적응적 필터를 이용한 인트라 예측 수행 방법 및 장치,2018-09-13,2021-01-13,독일
적응적 필터를 이용한 인트라 예측 수행 방법 및 장치,2012-11-08,2021-01-13,ESTONIA
적응적 필터를 이용한 인트라 예측 수행 방법 및 장치,2012-11-08,2021-01-13,스페인
적응적 필터를 이용한 인트라 예측 수행 방법 및 장치,2012-11-08,2021-01-13,프랑스
적응적 필터를 이용한 인트라 예측 수행 방법 및 장치,2012-11-08,2021-01-13,그리스
적응적 필터를 이용한 인트라 예측 수행 방법 및 장치,2012-11-08,2021-01-13,헝가리
적응적 필터를 이용한 인트라 예측 수행 방법 및 장치,2012-11-08,2021-01-13,ICELAND
적응적 필터를 이용한 인트라 예측 수행 방법 및 장치,2018-03-22,2019-08-23,일본
적응적 필터를 이용한 인트라 예측 수행 방법 및 장치,2018-03-22,2019-08-23,일본
적응적 필터를 이용한 인트라 예측 수행 방법 및 장치,2013-09-12,2017-03-17,대한민국
적응적 필터를 이용한 인트라 예측을 수행하는 영상 복호화 방법 및 컴퓨터로 읽을 수 있는 기록 매체,2018-07-04,2018-11-21,대한민국
적응적 필터를 이용한 인트라 예측을 수행하는 영상 복호화 방법 및 컴퓨터로 읽을 수 있는 기록 매체,2021-07-08,2022-05-26,대한민국
적응적 필터를 이용한 인트라 예측 수행 방법 및 장치,2012-11-08,2021-01-13,라트비아
적응적 필터를 이용한 인트라 예측 수행 방법 및 장치,2012-11-08,2021-01-13,MACEDONIA
적응적 필터를 이용한 인트라 예측 수행 방법 및 장치,2012-11-08,2021-01-13,MALTA
적응적 필터를 이용한 인트라 예측 수행 방법 및 장치,2012-11-08,2021-01-13,NETHERLAND
적응적 필터를 이용한 인트라 예측 수행 방법 및 장치,2012-11-08,2021-01-13,폴란드
적응적 필터를 이용한 인트라 예측 수행 방법 및 장치,2012-11-08,2021-01-13,루마니아
적응적 필터를 이용한 인트라 예측 수행 방법 및 장치,2018-09-13,2021-01-13,SLOVENIA
적응적 필터를 이용한 인트라 예측 수행 방법 및 장치,2018-09-13,2021-01-13,SAN MARINO
적응적 필터를 이용한 인트라 예측 수행 방법 및 장치,2012-10-08,2017-01-17,미국
적응적 필터를 이용한 인트라 예측 수행 방법 및 장치,2017-02-15,2017-12-05,미국
적응적 필터를 이용한 인트라 예측 수행 방법 및 장치,2018-08-08,2019-10-08,미국
적응적 필터를 이용한 인트라 예측 수행 방법 및 장치,2018-09-10,2020-04-14,미국
방송망과 통신망 간의 핸드오버 방법 및 핸드오버 제어장치,2010-12-28,2017-04-10,대한민국
이동 단말의 셀 탐색기 및 그것의 주변 셀 탐색 방법,2011-11-16,2014-09-16,미국
애벌런치 광다이오드 및 그 형성 방법,2011-07-27,2014-04-29,미국
다중 사용자 기반 무선통신 시스템에서의 프레임 전송방법,2012-07-24,2016-07-06,중국
데이터 프레임 처리 방법 및 수신기,2010-11-24,2016-05-04,영국
다중 사용자 다중 안테나 시스템의 효율적인 운영 방법,2014-08-04,2016-06-10,일본
다중 사용자 다중 안테나 기반 무선통신 시스템에서 데이터 보호 방법,2010-11-24,2019-02-08,대한민국
다중 사용자 다중 안테나 기반 무선통신 시스템에서 데이터 보호 방법,2017-10-26,2018-03-07,대한민국
다중 사용자 기반 무선통신 시스템에서의 프레임 전송방법,2012-05-22,2015-03-24,미국
다중 사용자 기반 무선통신 시스템에서 전송 실패 프레임의 복구 방법,2013-10-10,2019-03-12,미국
다중 사용자 다중 안테나 시스템의 효율적인 운영 방법,2015-02-26,2018-03-27,미국
다중 사용자 다중 안테나 시스템의 효율적인 운영 방법,2019-01-10,2022-06-14,미국
무선통신 시스템에서 캐리어 집성,2012-07-10,2017-01-03,캐나다
무선통신 시스템에서 캐리어 집성,2017-12-13,2021-07-06,캐나다
무선통신 시스템에서 캐리어 집성,2014-04-11,2017-05-31,중국
무선통신 시스템에서 캐리어 집성,2011-01-11,2015-04-29,독일
무선통신 시스템에서 캐리어 집성,2016-01-21,2020-10-21,스페인
무선통신 시스템에서 캐리어 집성,2011-01-11,2015-04-29,프랑스
무선통신 시스템에서 캐리어 집성,2011-10-11,2015-03-18,영국
무선통신 시스템에서 캐리어 집성,2011-01-11,2016-04-20,영국
무선통신 시스템에서 캐리어 집성,2011-01-11,2015-04-29,이탈리아
무선통신 시스템에서 캐리어 집성,2011-01-11,2015-04-29,NETHERLAND
무선통신 시스템에서 캐리어 집성,2016-01-21,2020-10-21,NETHERLAND
무선통신 시스템에서 캐리어 집성,2012-04-06,2013-01-29,미국
무선통신 시스템에서 캐리어 집성,2013-10-22,2015-03-03,미국
무선 통신시스템에서 제어 채널 송수신 방법,2012-10-30,2016-04-06,중국
무선 통신시스템에서 제어 채널 송수신 방법,2011-04-22,2014-10-15,대한민국
무선 통신시스템에서 제어 채널 송수신 방법,2012-09-28,2015-11-10,미국
상향링크 ＭＩＭＯ 전송에서 데이터와 다중화된 상향링크 ＤＭ－ＲＳ 전송 방법,2011-01-11,2017-02-22,대한민국
상향링크 MIMO 전송에서 데이터와 다중화된 상향링크 DM-RS 전송 방법,2011-01-20,2014-05-06,미국
기지국 전자파의 인체영향 평가 방법 및 장치,2011-05-23,2014-07-10,대한민국
지향성 안테나 사용 무선 통신 시스템에서 분산된 장치들의 지원을 통한 공간 재활용 방법과 그 장치,2010-08-09,2014-08-26,미국
MIMO 시스템에서 데이터를 송수신하는 방법 및 장치,2011-03-11,2015-02-25,스페인
제어가능 연결성을 제공하는 그룹서명 시스템 및 방법,2010-10-04,2014-07-25,대한민국
자동이득제어와 DC offset 제거를 포함하는 패킷 검출 방법 및 장치,2011-02-11,2013-10-22,미국
다중 반송파를 지원하는 무선 통신 시스템에서 모바일 멀티캐스트 브로드캐스트 서비스를 수신하는 방법,2012-06-22,2015-05-05,미국
휴대용 센서 장치 및 이를 포함하는 생체인식 기반의 서비스 시스템,2010-11-01,2015-12-01,대한민국
"기지국, 이동국, 페이징 메시지 전송 방법, 그리고 페이징 메시지의 수신 방법",2012-10-19,2014-12-16,미국
보안 기능과 일반 ＲＦＩＤ 태그 기능을 지원하는 보안 ＲＦＩＤ 태그 및 그의 동작 방법,2011-05-16,2015-06-09,미국
릴레이를 송수신에 이용하는 광대역 근거리 무선 통신 방법 및 장치,2011-02-16,2017-06-15,대한민국
릴레이를 송수신에 이용하는 무선통신방법,2012-08-16,2014-09-09,미국
"무선 시스템의 조정자 장치, 소스 장치 및 릴레이 장치의 통신 방법 및 프레임 구조",2020-05-12,2021-04-26,대한민국
"무선 시스템의 조정자 장치, 소스 장치 및 릴레이 장치의 통신 방법 및 프레임 구조",2018-02-23,2020-09-01,미국
광대역 근거리 무선 통신 장치 및 방법,2011-02-15,2017-07-28,대한민국
광대역 근거리 무선 통신 장치 및 방법,2019-05-15,2020-06-23,대한민국
광대역 근거리 무선 통신 장치 및 방법,2021-05-24,2022-01-24,대한민국
예약 기반 매체 접근 제어와 지향성 안테나를 사용하는 릴레이통신방법,2014-06-16,2019-07-23,미국
예약 기반 매체 접근 제어와 지향성 안테나를 사용하는 릴레이통신방법,2019-06-24,2020-10-20,미국
가상주소 기반의 직접통신 가능한 가상네트워크 환경에서 네트워크단위 이동성 지원 방법,2011-09-16,2014-07-15,미국
캐리어 에그리게이션 환경에서 핸드오버 방법 및 절차,2012-11-28,2021-08-25,스페인
캐리어 에그리게이션 환경에서 핸드오버 방법 및 절차,2012-11-28,2021-08-25,NETHERLAND
캐리어 에그리게이션 환경에서 핸드오버 방법 및 절차,2012-10-29,2015-04-21,미국
제어채널 간섭 관리 방법,2011-06-29,2014-05-06,미국
송신 제어 프로토콜 플러딩 공격 방어 방법 및 장치,2010-11-04,2014-09-12,대한민국
박막 증착 장치,2010-10-27,2015-04-08,대한민국
고정 대역폭을 갖는 가변 이득 증폭기,2011-11-15,2013-08-27,미국
이동통신 시스템에서 사물 단말 동작의 시작 시점 임의화 방법,2011-02-16,2018-03-19,대한민국
다중캐리어 무선통신 시스템에서 송수신 방법,2012-12-13,2014-03-20,오스트레일리아
다중캐리어 무선통신 시스템에서 송수신 방법,2015-12-25,2019-07-23,중국
다중캐리어 무선통신 시스템에서 송수신 방법,2015-10-21,2019-08-07,스페인
다중캐리어 무선통신 시스템에서 송수신 방법,2015-10-21,2019-08-07,NETHERLAND
다중캐리어 무선통신 시스템에서 송수신 방법,2019-05-07,2022-08-10,폴란드
다중캐리어 무선통신 시스템에서 송수신 방법,2012-12-10,2013-12-17,미국
다중캐리어 무선통신 시스템에서 송수신 방법,2015-11-03,2017-07-04,미국
다중캐리어 무선통신 시스템에서 송수신 방법,2018-08-24,2020-08-25,미국
수퍼접합형 선택적 에피택셜 도핑을 이용한 트렌치 게이트 전력소자의 제조방법,2013-12-09,2015-03-10,미국
감정 모델을 이용한 음악 검색 장치 및 방법,2011-08-30,2013-07-16,미국
확장성과 적응성을 가지는 DDS 구조 및 DDS를 구성하는 노드,2011-08-17,2014-10-28,미국
무선통신 시스템에서 부반송파 간격의 제어장치 및 방법,2013-03-12,2015-12-08,미국
넓은 다이나믹 레인지를 갖는 자동이득조절 귀환증폭기,2011-07-19,2013-04-16,미국
팬 통신을 이용한 펨토셀 서비스 제어 장치 및 방법,2010-12-23,2013-12-19,대한민국
데이터 분배 서비스에서 경량 멀티캐스트를 제공하는 방법 및 장치,2011-12-29,2014-04-29,미국
집적화된 홀센서리스 BLDC 모터용 고전압/대전류 파워 모듈,2011-11-01,2014-09-02,미국
대역통과 샘플링 수신기,2014-09-29,2017-01-09,대한민국
대역통과 샘플링 수신기 및 그것의 필터 설계 및 재구성 방법,2013-03-18,2016-11-15,미국
광 모듈,2011-06-07,2014-07-08,미국
고주파 신호 전달을 위한 광모듈 패키징 방법,2014-06-03,2015-06-30,미국
고주파 신호 전달을 위한 광모듈 패키징 방법,2016-01-05,2016-11-29,미국
무선 통신 시스템에서의 페이징 장치 및 방법,2011-09-29,2013-08-20,미국
기지국 및 그것의 자원 할당 방법,2010-12-21,2017-07-14,대한민국
단일 광자 검출장치 및 광자 수 분해 검출장치,2011-01-12,2018-01-23,대한민국
